resightID,animalID,season,date,area,regionID,markobs,markobspos,markadded,markaddedpos,obssex,obsage,pctmolt,comment,markcomment,dead,observer,entrydate,entry,estimated,shark,unsure ,cookiecutter
250640,38358,2014,11/25/13,NP,3,6680,R,NA,NA,NA,Juv,NA,"Cookie cutter shark bite on right back flank, near tail",NA,0,S. Peterson,11/25/13,S. Peterson,0,Comment Includes 'Shark',,
250885,43385,2014,11/13/13,MBB,2,NA,NA,NA,NA,NA,Juv,NA,right side of neck: shark bite?,NA,0,K. Pelon,11/30/13,S. Peterson,0,Comment Includes 'Shark',,
251492,34530,2014,1/2/14,SBE,2,NA,NA,NA,NA,F,Ad,NA,"Pregnant, cookie cutter shark bite just left of center lower back",NA,0,P. Morris,1/3/14,P. Morris,0,Comment Includes 'Shark',,
253655,43514,2014,1/18/14,BMB,2,3TS,R,NA,NA,M,SA4,NA,trying to claim the carcass of a dead ~3Y old female who was shark bit.,NA,0,P. Morris,1/19/14,P. Morris,0,Comment Includes 'Shark',,
255864,41210,2014,2/1/14,BBN,2,66__,L,NA,NA,F,Ad,NA,she has a groove scar beneath and behind her chin - maybe an old shark bite.,NA,0,P. Morris,2/3/14,P. Morris,0,Comment Includes 'Shark',,
260972,44290,2014,2/27/14,NP,3,520,"L, R",NA,NA,M,SA3,NA,shark bite on back,NA,0,A. Fox,3/3/14,X. Rojas-Rocha,0,Comment Includes 'Shark',,
262957,41210,2015,5/21/14,SB,2,6651,R,NA,NA,F,Ad,100,has a shark bite scar under her chin,NA,0,P. Morris,5/22/14,P. Morris,0,Comment Includes 'Shark',,
264809,41210,2015,5/21/14,SB,2,6651,NA,NA,NA,F,ad,100,shark scar under chin,NA,0,P. Morris,8/27/14,P. Morris,0,Comment Includes 'Shark',,
266271,44905,2015,12/25/14,TSC,2,NA,NA,PL291,L,NA,W,NA,Small wound mid-back - cookie cutter shark?,NA,0,P. Morris,12/26/14,P. Morris,0,Comment Includes 'Shark',,
266510,20650,2015,1/2/15,NP,3,NA,NA,NA,NA,F,ad,NA,cookie cutter shark bite near R nipple,NA,0,P. Morris,1/4/15,P. Morris,0,Comment Includes 'Shark',,
272111,38351,2015,2/23/15,"Pt. Reyes-South Beach, 38.043243 N,  -122.991239 W",12,NA,NA,NA,NA,NA,NA,NA,DEAD.  Length=284 cm. Skull collected for Cal. Acad.  Was already fairly decomposed with several shark bites (not known if pre- or post-mortem).  Sue thought it was an adult female.,NA,0,Sue Pemberton,3/9/15,P. Morris,0,Comment Includes 'Shark',,
274220,45841,2016,5/9/15,BMC,2,NA,NA,NA,NA,F,ad,100,Has several cookie cutter shark bites and one on her right neck,NA,0,S. Peterson,5/11/15,S. Peterson,0,Comment Includes 'Shark',,
275868,1364,2016,6/14/15,BMb,2,NA,NA,NA,NA,F,ad,100,"sat tag scar, shark bit scar on left.",NA,0,P. Robinson,6/14/15,P. Robinson,0,Comment Includes 'Shark',,
278183,46362,2016,12/18/15,MBB,2,EY3,L,NA,NA,M,Ad,NA,shark bite scar low left just in front of pelvis,NA,0,P. Morris,12/19/15,P. Morris,0,Comment Includes 'Shark',,
278686,46362,2016,1/1/16,APB,2,EY3,L,NA,NA,M,Ad,NA,shark scar low left flank,3 on L is backwards,0,P. Morris,1/1/16,P. Morris,0,Comment Includes 'Shark',,
278736,46362,2016,1/2/16,AP,2,EY3,R,NA,NA,M,Ad,NA,"alpha - AP, shark scar low L flank",NA,0,P. Morris,1/2/16,P. Morris,0,Comment Includes 'Shark',,
278852,40287,2016,1/3/16,NPB3,3,NA,NA,5698,"R, L, Sh",F,Ad,NA,"Pregnant, recent cookie cutter shark bites R neck & L mid-body",NA,0,P. Morris,1/4/16,P. Morris,0,Comment Includes 'Shark',,
278967,41696,2016,1/3/16,NP,3,7520,R,NA,NA,M,Ad,NA,"alpha - NP, shark scar mid back",NA,0,P. Morris,1/4/16,P. Morris,0,Comment Includes 'Shark',,
279007,17210,2016,1/4/16,NP2,3,T167,NA,NA,NA,F,ad,NA,LOTS of scarring all over her back - look like fighting scars< not shark bites,NA,0,R. Holser,1/4/16,R. Holser,0,Comment Includes 'Shark',,
282862,46362,2016,1/2/16,AP,2,EY3,NA,NA,NA,M,ad,NA,shark scar,NA,0,P. Morris,2/9/16,P. Morris,0,Comment Includes 'Shark',,
291289,46991,2017,11/10/16,MBB,2,C125,L,NA,NA,F,W,NA,several cookie cutter shark bites on belly,NA,0,P. Morris,11/10/16,P. Morris,0,Comment Includes 'Shark',,
306219,46976,2018,10/20/17,NP1,3,C342,L,NA,NA,NA,NA,NA,"large wound behind left eye, looks like shark bite",NA,0,L. Pallin,10/20/17,L. Pallin,0,Comment Includes 'Shark',,
306564,47510,2018,11/20/17,AP,2,NA,NA,C734,L,M,ad,NA,shark bite R Umb,NA,0,R. Cuthbertson,11/20/17,R. Cuthbertson,0,Comment Includes 'Shark',,
307086,47510,2018,12/16/17,BMS,2,C73_,L,NA,NA,M,ad,NA,big shark bite,NA,0,T. Keates,12/16/17,T. Keates,0,Comment Includes 'Shark',,
311023,46535,2018,1/23/18,NP2,3,NA,NA,NA,NA,F,ad,NA,distinctive shark scar between her shoulders,NA,0,R. Holser,1/24/18,R. Holser,0,Comment Includes 'Shark',,
312203,48835,2018,2/1/18,TSB,2,OW1,L,NA,NA,M,NA,NA,Healed white shark bite scar on L shoulder,NA,0,S. Kienle,2/1/18,S. Kienle,0,Comment Includes 'Shark',,
314049,40423,2018,2/9/18,TSB,2,6455,L,NA,NA,M,SA2,NA,shark bite?,NA,0,R. Cuthbertson,2/9/18,R. Cuthbertson,0,Comment Includes 'Shark',,
317872,44334,2018,3/14/18,MBBU,2,A470,R,NA,NA,M,SA1,0,healed shark wound on R neck,NA,0,T. Keates,3/14/18,T. Keates,0,Comment Includes 'Shark',,
318488,47026,2018,4/19/18,MBBU,2,PL574,R,NA,NA,NA,juv,2,Healed shark bite on belly,NA,0,Robinson class,4/19/18,Robinson class,0,Comment Includes 'Shark',,
318738,41117,2018,4/23/18,BMC,2,6540,R,NA,NA,F,ad,0,bitten by a shark (photos taken),NA,0,R. Holser,4/23/18,R. Holser,0,Comment Includes 'Shark',,
